Designator,Footprint,Quantity,Value,LCSC Part #
JST1,battery_connector_jst_ph_2,1,,C157932
RST1,reset_switch_1825027-8,1,,C266196
"S1, S10, S11, S12, S13, S14, S15, S16, S17, S18, S19, S2, S20, S21, S22, S23, S24, S25, S26, S27, S28, S29, S3, S30, S31, S32, S33, S34, S35, S36, S4, S5, S6, S7, S8, S9",switch_choc_v1_v2,36,,C5333465
